date,temperature,precipitation,humidity,wind,season
2024-05-17,20.7,0.0,36,17.9,spring
2024-05-18,23.4,0.0,46,20.1,spring
2024-05-19,22.9,0.0,26,20.8,spring
2024-05-20,22.9,0.0,31,39.1,spring
2024-05-21,21.6,0.0,44,24.3,spring
2024-05-22,20.4,0.0,27,26.3,spring
2024-05-23,19.8,0.0,26,27.4,spring
2024-05-24,21.1,0.0,19,24.1,spring
2024-05-25,20.8,0.0,24,30.4,spring
2024-05-26,21.1,0.0,37,24.7,spring
2024-05-27,23.1,0.0,23,25.3,spring
2024-05-28,24.8,0.0,20,26.0,spring
2024-05-29,22.8,0.0,24,21.5,spring
2024-05-30,23.2,0.0,20,21.8,spring
2024-05-31,23.9,0.0,18,20.2,spring
2024-06-01,24.6,0.0,31,21.9,spring
2024-06-02,23.0,0.0,29,22.5,spring
2024-06-03,23.1,0.0,43,23.8,spring
2024-06-04,23.9,0.0,36,21.9,spring
2024-06-05,25.5,0.0,37,12.7,spring
2024-06-06,28.0,0.0,40,17.6,spring
2024-06-07,28.2,0.0,27,20.6,spring
2024-06-08,26.2,0.0,25,22.8,spring
2024-06-09,26.8,0.0,40,24.1,spring
2024-06-10,25.0,0.0,45,16.1,spring
2024-06-11,27.0,0.0,26,18.6,spring
2024-06-12,30.2,0.0,17,14.7,spring
2024-06-13,28.6,0.0,18,26.5,spring
2024-06-14,28.3,0.0,25,25.3,spring
2024-06-15,27.0,0.0,18,16.1,spring
2024-06-16,27.8,0.0,27,21.6,spring
2024-06-17,26.5,0.0,50,28.4,spring
2024-06-18,25.4,0.0,37,22.7,spring
2024-06-19,26.2,0.0,53,17.4,spring
2024-06-20,28.8,0.0,44,30.0,spring
2024-06-21,29.1,0.4,64,23.1,summer
2024-06-22,27.4,9.7,75,19.9,summer
2024-06-23,26.6,0.2,82,29.8,summer
2024-06-24,26.6,0.5,91,16.9,summer
2024-06-25,26.5,0.9,80,18.0,summer
2024-06-26,27.1,6.3,69,20.8,summer
2024-06-27,26.5,0.7,75,9.9,summer
2024-06-28,26.4,11.0,88,15.8,summer
2024-06-29,27.3,0.1,87,20.5,summer
2024-06-30,26.2,3.4,81,16.5,summer
2024-07-01,25.0,3.3,84,22.4,summer
2024-07-02,26.8,0.5,67,22.4,summer
2024-07-03,26.7,0.2,76,16.6,summer
2024-07-04,26.9,0.0,90,22.9,summer
2024-07-05,28.6,0.0,83,18.3,summer
2024-07-06,28.6,0.0,64,23.4,summer
