date,temperature,precipitation,humidity,wind,season
2024-05-17,24.2,0.0,53,12.9,spring
2024-05-18,25.4,0.0,53,12.8,spring
2024-05-19,27.1,0.0,57,13.3,spring
2024-05-20,27.1,0.0,54,12.0,spring
2024-05-21,27.5,0.0,61,13.4,spring
2024-05-22,27.3,0.0,60,12.7,spring
2024-05-23,27.4,0.0,56,12.7,spring
2024-05-24,27.8,0.0,36,12.5,spring
2024-05-25,28.4,0.0,27,13.9,spring
2024-05-26,29.4,0.0,59,14.8,spring
2024-05-27,27.9,0.0,62,12.7,spring
2024-05-28,28.8,0.0,61,13.0,spring
2024-05-29,29.1,0.0,75,12.3,spring
2024-05-30,28.6,0.0,63,13.0,spring
2024-05-31,27.9,0.0,51,12.8,spring
2024-06-01,27.6,0.0,60,12.2,spring
2024-06-02,28.5,0.0,58,14.1,spring
2024-06-03,27.5,0.0,61,12.4,spring
2024-06-04,27.4,0.0,80,12.0,spring
2024-06-05,26.9,0.0,88,13.0,spring
2024-06-06,27.1,1.2,73,12.4,spring
2024-06-07,27.2,0.0,85,13.0,spring
2024-06-08,26.1,6.4,89,7.4,spring
2024-06-09,25.9,0.4,87,11.2,spring
2024-06-10,26.5,0.7,87,12.3,spring
2024-06-11,28.6,0.2,80,12.1,spring
2024-06-12,27.4,0.0,81,10.7,spring
2024-06-13,27.9,0.2,99,12.7,spring
2024-06-14,27.6,0.4,94,10.0,spring
2024-06-15,28.0,0.0,93,12.6,spring
2024-06-16,28.1,0.8,97,9.8,spring
2024-06-17,27.9,0.0,91,13.1,spring
2024-06-18,27.8,0.0,93,15.0,spring
2024-06-19,27.5,0.0,98,13.5,spring
2024-06-20,30.1,2.0,67,17.3,spring
2024-06-21,26.4,0.8,99,9.4,summer
2024-06-22,26.8,10.4,99,9.2,summer
2024-06-23,24.6,10.5,100,9.2,summer
2024-06-24,25.7,10.9,100,7.8,summer
2024-06-25,24.2,1.2,100,10.0,summer
2024-06-26,23.2,0.8,100,9.8,summer
2024-06-27,24.0,2.0,100,9.2,summer
2024-06-28,25.1,5.6,100,6.9,summer
2024-06-29,25.5,1.4,100,8.0,summer
2024-06-30,25.4,2.6,97,9.7,summer
2024-07-01,26.4,4.1,95,10.0,summer
2024-07-02,26.0,9.2,98,8.7,summer
