date,temperature,precipitation,humidity,wind,season
2024-05-17,33.3,0.1,88,24.7,spring
2024-05-18,33.2,0.3,86,21.9,spring
2024-05-19,33.0,0.1,88,13.8,spring
2024-05-20,32.6,0.0,83,18.9,spring
2024-05-21,32.0,0.0,91,15.1,spring
2024-05-22,32.1,0.0,93,17.8,spring
2024-05-23,32.2,0.0,90,20.1,spring
2024-05-24,31.9,0.0,89,20.7,spring
2024-05-25,32.1,0.0,87,20.2,spring
2024-05-26,32.5,0.0,87,19.5,spring
2024-05-27,33.5,0.0,87,19.4,spring
2024-05-28,32.8,0.0,93,20.0,spring
2024-05-29,31.9,0.0,97,18.2,spring
2024-05-30,32.2,0.0,94,18.4,spring
2024-05-31,32.0,0.0,90,19.3,spring
2024-06-01,32.0,0.1,88,18.2,spring
2024-06-02,32.1,2.0,89,18.9,spring
2024-06-03,32.3,0.0,93,23.3,spring
2024-06-04,32.6,0.0,86,17.1,spring
2024-06-05,32.8,0.0,88,18.4,spring
2024-06-06,33.0,0.1,93,14.2,spring
2024-06-07,33.0,1.2,92,14.2,spring
2024-06-08,32.3,19.7,100,17.6,spring
2024-06-09,31.2,3.3,98,13.3,spring
2024-06-10,31.4,16.5,99,21.1,spring
2024-06-11,30.7,19.8,100,10.8,spring
2024-06-12,30.4,5.1,99,12.1,spring
2024-06-13,30.0,21.2,100,7.6,spring
2024-06-14,28.2,20.4,100,8.8,spring
2024-06-15,27.0,20.4,100,14.4,spring
2024-06-16,27.2,8.5,100,20.5,spring
2024-06-17,27.4,25.5,100,15.7,spring
2024-06-18,26.1,24.2,100,18.1,spring
2024-06-19,27.7,0.5,99,18.3,spring
2024-06-20,27.0,23.5,99,26.1,spring
2024-06-21,24.9,18.6,100,16.9,summer
2024-06-22,26.9,20.5,100,14.9,summer
2024-06-23,25.9,21.6,100,12.3,summer
2024-06-24,27.1,13.6,100,12.1,summer
2024-06-25,28.0,14.4,99,11.7,summer
2024-06-26,28.2,1.0,100,12.0,summer
2024-06-27,28.3,3.4,99,13.8,summer
2024-06-28,28.9,5.2,98,16.0,summer
2024-06-29,25.5,13.0,100,22.9,summer
2024-06-30,28.9,0.0,95,21.3,summer
2024-07-01,28.4,16.3,99,12.1,summer
2024-07-02,28.0,7.8,100,14.1,summer
2024-07-03,29.1,0.1,99,11.0,summer
2024-07-04,28.6,11.3,99,12.2,summer
2024-07-05,26.8,2.8,98,24.4,summer
2024-07-06,28.2,0.6,100,13.0,summer
2024-07-07,28.9,3.3,100,16.2,summer
2024-07-08,28.1,2.6,99,20.3,summer
2024-07-09,29.5,0.1,95,16.6,summer
2024-07-10,29.4,0.0,98,13.6,summer
2024-07-11,29.0,14.4,96,13.2,summer
2024-07-12,29.0,1.2,99,22.2,summer
2024-07-13,29.0,0.1,99,15.1,summer
2024-07-14,29.0,14.9,98,11.8,summer
2024-07-15,28.6,1.4,100,12.0,summer
2024-07-16,27.5,3.6,100,12.8,summer
2024-07-17,28.5,0.2,99,14.2,summer
2024-07-18,28.4,4.6,99,10.5,summer
2024-07-19,27.9,5.9,99,13.8,summer
2024-07-20,28.4,9.8,98,13.3,summer
2024-07-21,26.9,18.0,100,11.4,summer
2024-07-22,27.0,7.6,100,12.9,summer
2024-07-23,29.6,0.0,99,14.0,summer
2024-07-24,28.7,0.5,99,16.4,summer
2024-07-25,28.8,4.3,98,12.1,summer
2024-07-26,28.4,1.3,97,10.5,summer
2024-07-27,29.3,0.2,99,12.8,summer
2024-07-28,27.6,3.2,93,18.7,summer
2024-07-29,29.6,0.3,96,16.6,summer
2024-07-30,29.9,0.0,99,13.7,summer
2024-07-31,29.8,0.2,96,10.7,summer
2024-08-01,29.6,10.1,100,12.0,summer
2024-08-02,28.6,2.8,99,13.5,summer
2024-08-03,28.8,8.0,100,20.9,summer
2024-08-04,28.5,2.1,100,8.6,summer
2024-08-05,29.0,1.2,100,9.0,summer
2024-08-06,29.4,0.6,98,7.0,summer
2024-08-07,29.4,4.2,100,11.3,summer
2024-08-08,29.5,1.1,100,8.8,summer
2024-08-09,29.0,1.7,98,16.2,summer
2024-08-10,28.7,10.6,99,14.6,summer
2024-08-11,28.6,2.2,100,14.9,summer
2024-08-12,29.0,1.9,99,10.1,summer
2024-08-13,28.8,9.4,99,13.1,summer
2024-08-14,29.0,17.1,99,12.4,summer
2024-08-15,29.0,6.3,100,17.3,summer
2024-08-16,28.9,0.4,100,7.7,summer
2024-08-17,29.5,0.6,98,15.5,summer
2024-08-18,29.5,0.4,98,18.5,summer
2024-08-19,29.1,1.0,96,13.8,summer
2024-08-20,28.4,1.8,99,9.8,summer
2024-08-21,28.3,12.4,100,18.9,summer
2024-08-22,28.2,0.9,100,12.2,summer
2024-08-23,28.9,1.5,96,13.7,summer
2024-08-24,28.9,4.3,100,11.0,summer
2024-08-25,27.2,2.6,100,10.4,summer
2024-08-26,28.5,2.9,100,11.0,summer
2024-08-27,28.6,3.0,99,10.0,summer
2024-08-28,29.0,5.6,100,23.1,summer
2024-08-29,27.8,11.1,99,11.2,summer
2024-08-30,28.2,4.1,99,12.1,summer
2024-08-31,28.8,6.8,100,12.0,summer
2024-09-01,29.0,3.4,100,10.7,summer
2024-09-02,26.9,8.8,100,9.5,summer
2024-09-03,27.3,13.5,100,10.5,summer
2024-09-04,29.1,3.9,99,13.5,summer
2024-09-05,29.0,1.0,99,14.2,summer
2024-09-06,27.6,15.6,97,14.5,summer
2024-09-07,27.9,2.9,98,17.4,summer
2024-09-08,29.6,3.8,98,14.5,summer
2024-09-09,28.8,0.7,98,13.8,summer
2024-09-10,29.6,0.5,98,13.2,summer
2024-09-11,29.8,1.9,98,10.3,summer
2024-09-12,29.9,0.0,99,12.9,summer
2024-09-13,30.4,0.0,98,12.0,summer
2024-09-14,30.3,0.4,98,14.1,summer
2024-09-15,30.6,6.5,99,12.0,summer
2024-09-16,29.9,8.3,99,17.9,summer
2024-09-17,29.5,11.4,99,14.1,summer
2024-09-18,29.0,2.2,100,13.3,summer
2024-09-19,29.4,8.6,100,15.3,summer
2024-09-20,28.5,8.1,99,9.7,summer
2024-09-21,27.8,18.5,99,16.7,summer
2024-09-22,27.6,2.2,99,11.9,summer
2024-09-23,28.6,3.2,99,20.3,autumn
2024-09-24,28.6,6.8,99,13.7,autumn
2024-09-25,25.8,15.8,99,19.7,autumn
2024-09-26,28.4,2.7,97,20.2,autumn
2024-09-27,28.6,0.4,98,10.9,autumn
2024-09-28,28.4,3.8,100,9.3,autumn
2024-09-29,28.1,0.6,100,11.8,autumn
2024-09-30,27.0,10.8,99,11.3,autumn
2024-10-01,27.1,4.9,100,13.3,autumn
2024-10-02,27.9,12.5,99,11.9,autumn
2024-10-03,27.9,2.4,98,11.9,autumn
2024-10-04,28.1,13.8,99,10.3,autumn
2024-10-05,27.4,12.2,100,12.0,autumn
2024-10-06,27.6,9.7,100,6.7,autumn
2024-10-07,27.5,1.5,99,23.1,autumn
2024-10-08,26.3,3.7,94,28.7,autumn
2024-10-09,27.2,0.0,93,18.6,autumn
2024-10-10,26.1,0.6,99,16.6,autumn
2024-10-11,25.7,0.3,99,10.4,autumn
2024-10-12,25.8,0.1,91,14.1,autumn
2024-10-13,26.6,0.0,98,12.2,autumn
2024-10-14,27.3,2.7,100,13.4,autumn
2024-10-15,27.1,1.0,100,13.2,autumn
2024-10-16,25.8,9.6,100,15.1,autumn
2024-10-17,26.5,1.7,100,17.3,autumn
2024-10-18,26.8,16.3,98,18.3,autumn
2024-10-19,25.0,13.1,100,17.6,autumn
2024-10-20,25.5,5.0,98,17.9,autumn
2024-10-21,26.5,1.1,97,14.4,autumn
2024-10-22,26.4,0.0,98,12.1,autumn
2024-10-23,25.8,0.8,97,11.9,autumn
2024-10-24,25.9,0.0,96,13.0,autumn
2024-10-25,26.1,0.0,88,10.8,autumn
2024-10-26,26.2,4.2,98,14.0,autumn
2024-10-27,26.2,0.0,98,9.8,autumn
2024-10-28,26.5,0.1,96,13.1,autumn
2024-10-29,25.9,34.4,100,13.2,autumn
2024-10-30,25.5,13.9,100,12.6,autumn
2024-10-31,26.4,3.7,99,12.3,autumn
2024-11-01,25.8,2.8,98,12.9,autumn
2024-11-02,25.5,0.0,97,11.6,autumn
2024-11-03,26.8,0.4,99,11.9,autumn
2024-11-04,26.0,2.0,98,14.2,autumn
2024-11-05,26.8,0.0,99,10.4,autumn
2024-11-06,26.0,0.0,100,13.2,autumn
2024-11-07,25.9,3.2,98,10.3,autumn
2024-11-08,26.3,0.6,100,7.9,autumn
2024-11-09,27.2,0.9,100,6.6,autumn
2024-11-10,27.2,2.5,100,8.6,autumn
2024-11-11,26.9,0.2,100,10.8,autumn
2024-11-12,27.0,0.0,98,14.5,autumn
2024-11-13,27.8,2.9,99,9.2,autumn
2024-11-14,27.4,8.3,100,14.5,autumn
2024-11-15,27.6,4.3,100,16.7,autumn
2024-11-16,27.4,1.3,99,14.5,autumn
2024-11-17,26.3,4.4,99,23.9,autumn
2024-11-18,26.9,4.5,99,20.6,autumn
2024-11-19,28.7,9.0,100,17.5,autumn
2024-11-20,26.6,8.0,100,15.8,autumn
2024-11-21,24.5,0.0,93,15.8,autumn
2024-11-22,22.2,0.0,94,14.8,autumn
2024-11-23,21.9,0.0,90,10.4,autumn
2024-11-24,22.5,0.0,94,13.3,autumn
2024-11-25,23.9,0.0,97,12.8,autumn
2024-11-26,24.9,0.0,99,10.3,autumn
2024-11-27,25.1,0.0,100,10.4,autumn
2024-11-28,26.3,0.0,100,7.7,autumn
2024-11-29,25.6,0.0,98,12.8,autumn
2024-11-30,25.3,0.0,100,10.1,autumn
2024-12-01,25.4,0.6,99,11.9,autumn
2024-12-02,24.6,0.0,97,14.3,autumn
2024-12-03,24.3,0.0,88,14.3,autumn
